PassengerId,Survived
892,0.0
893,0.0
894,1.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,1.0
901,0.0
902,0.0
903,1.0
904,1.0
905,1.0
906,0.0
907,1.0
908,1.0
909,0.0
910,0.0
911,0.0
912,0.0
913,1.0
914,1.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,0.0
925,0.0
926,0.0
927,1.0
928,0.0
929,0.0
930,0.0
931,1.0
932,0.0
933,0.0
934,0.0
935,1.0
936,0.0
937,1.0
938,0.0
939,1.0
940,1.0
941,0.0
942,1.0
943,0.0
944,0.0
945,1.0
946,0.0
947,1.0
948,0.0
949,0.0
950,0.0
951,1.0
952,0.0
953,0.0
954,0.0
955,1.0
956,0.0
957,1.0
958,0.0
959,0.0
960,0.0
961,1.0
962,0.0
963,0.0
964,0.0
965,1.0
966,0.0
967,1.0
968,1.0
969,1.0
970,1.0
971,0.0
972,0.0
973,0.0
974,1.0
975,1.0
976,1.0
977,1.0
978,0.0
979,0.0
980,1.0
981,0.0
982,1.0
983,1.0
984,1.0
985,1.0
986,1.0
987,1.0
988,0.0
989,0.0
990,0.0
991,0.0
992,1.0
993,0.0
994,0.0
995,1.0
996,0.0
997,0.0
998,1.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,1.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,1.0
1010,1.0
1011,0.0
1012,0.0
1013,1.0
1014,1.0
1015,1.0
1016,0.0
1017,0.0
1018,1.0
1019,0.0
1020,1.0
1021,1.0
1022,1.0
1023,0.0
1024,0.0
1025,0.0
1026,1.0
1027,0.0
1028,1.0
1029,0.0
1030,1.0
1031,0.0
1032,0.0
1033,0.0
1034,1.0
1035,1.0
1036,0.0
1037,1.0
1038,0.0
1039,0.0
1040,1.0
1041,0.0
1042,1.0
1043,0.0
1044,0.0
1045,1.0
1046,0.0
1047,0.0
1048,1.0
1049,0.0
1050,1.0
1051,1.0
1052,0.0
1053,1.0
1054,0.0
1055,0.0
1056,1.0
1057,0.0
1058,0.0
1059,1.0
1060,0.0
1061,1.0
1062,0.0
1063,0.0
1064,1.0
1065,1.0
1066,1.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
1084,
1085,
1086,
1087,
1088,
1089,
1090,
1091,
1092,
1093,
1094,
1095,
1096,
1097,
1098,
1099,
1100,
1101,
1102,
1103,
1104,
1105,
1106,
1107,
1108,
1109,
1110,
1111,
1112,
1113,
1114,
1115,
1116,
1117,
1118,
1119,
1120,
1121,
1122,
1123,
1124,
1125,
1126,
1127,
1128,
1129,
1130,
1131,
1132,
1133,
1134,
1135,
1136,
1137,
1138,
1139,
1140,
1141,
1142,
1143,
1144,
1145,
1146,
1147,
1148,
1149,
1150,
1151,
1152,
1153,
1154,
1155,
1156,
1157,
1158,
1159,
1160,
1161,
1162,
1163,
1164,
1165,
1166,
1167,
1168,
1169,
1170,
1171,
1172,
1173,
1174,
1175,
1176,
1177,
1178,
1179,
1180,
1181,
1182,
1183,
1184,
1185,
1186,
1187,
1188,
1189,
1190,
1191,
1192,
1193,
1194,
1195,
1196,
1197,
1198,
1199,
1200,
1201,
1202,
1203,
1204,
1205,
1206,
1207,
1208,
1209,
1210,
1211,
1212,
1213,
1214,
1215,
1216,
1217,
1218,
1219,
1220,
1221,
1222,
1223,
1224,
1225,
1226,
1227,
1228,
1229,
1230,
1231,
1232,
1233,
1234,
1235,
1236,
1237,
1238,
1239,
1240,
1241,
1242,
1243,
1244,
1245,
1246,
1247,
1248,
1249,
1250,
1251,
1252,
1253,
1254,
1255,
1256,
1257,
1258,
1259,
1260,
1261,
1262,
1263,
1264,
1265,
1266,
1267,
1268,
1269,
1270,
1271,
1272,
1273,
1274,
1275,
1276,
1277,
1278,
1279,
1280,
1281,
1282,
1283,
1284,
1285,
1286,
1287,
1288,
1289,
1290,
1291,
1292,
1293,
1294,
1295,
1296,
1297,
1298,
1299,
1300,
1301,
1302,
1303,
1304,
1305,
1306,
1307,
1308,
1309,
